Main Ship Speed,Lead Times,Lead Times Category,Average Unit Price,# Units Sold,Gross Revenue,Total Costs,Gross Margin,Branded,Brand Awareness,Source
Large Parcel,1,24 Hours,415,2361,979815,758967,0.2253976515974954,N,0.0,Current
Small Parcel,20,2-3 Weeks,1595,635,1012825,823228,0.1871962086243921,Y,0.09,Potential
Small Parcel,9,1-2 Weeks,1986,489,971154,851029,0.1236930497119921,N,0.0,Potential
Small Parcel,3,72 Hours,1833,2469,4525677,4253714,0.0600933296830507,Y,0.75,Potential
Large Parcel,15,2-3 Weeks,1757,1414,2484398,2151683,0.1339217790386242,Y,0.09,Potential
Large Parcel,20,2-3 Weeks,3012,1240,3734880,3438428,0.0793739022405003,Y,0.12,Potential
Large Parcel,12,1-2 Weeks,4559,1181,5384179,4052191,0.247389249131576,N,0.0,Current
Large Parcel,13,1-2 Weeks,151,1483,223933,171243,0.2352935922798337,Y,0.02,Potential
Large Parcel,7,1-2 Weeks,379,1086,411594,390542,0.0511474900022838,Y,0.03,Potential
Large Parcel,27,3-4 Weeks,1225,2189,2681525,2358782,0.1203580052395558,N,0.0,Potential
Large Parcel,2,48 Hours,626,1442,902692,772589,0.144127786664776,N,0.0,Potential
Large Parcel,23,3-4 Weeks,768,1832,1406976,1135457,0.1929805483533478,Y,0.01,Potential
Small Parcel,21,3-4 Weeks,2757,678,1869246,1430749,0.234584960994968,N,0.0,Potential
Small Parcel,2,48 Hours,785,686,538510,503213,0.0655456723180628,N,0.0,Potential
Large Parcel,2,48 Hours,856,767,656552,555881,0.1533328662466948,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,264,925,244200,219683,0.1003972153972154,N,0.0,Current
Large Parcel,5,Less Than 1 Week,663,449,297687,241285,0.1894674607893526,N,0.0,Potential
Large Parcel,27,3-4 Weeks,459,2063,946917,760832,0.1965166957610857,Y,0.01,Potential
Small Parcel,7,1-2 Weeks,2031,1547,3141957,2614801,0.1677795081218488,N,0.0,Potential
Small Parcel,12,1-2 Weeks,1844,1859,3427996,2781670,0.1885433938662705,N,0.0,Potential
Small Parcel,1,24 Hours,770,425,327250,248169,0.2416531703590527,Y,0.01,Potential
Large Parcel,26,3-4 Weeks,3306,50,165300,131833,0.2024621899576527,N,0.0,Potential
Large Parcel,16,2-3 Weeks,1098,310,340380,283495,0.1671220400728597,N,0.0,Potential
Large Parcel,12,1-2 Weeks,753,371,279363,239372,0.1431506677691748,Y,0.02,Potential
Small Parcel,2,48 Hours,983,672,660576,599607,0.0922967228600494,Y,0.08,Potential
Small Parcel,3,72 Hours,92,422,38824,30688,0.2095610962291366,N,0.0,Potential
Small Parcel,2,48 Hours,1252,1102,1379704,1186104,0.1403199526855035,Y,0.05,Potential
Small Parcel,6,Less Than 1 Week,982,511,501802,383406,0.2359416662348894,N,0.0,Current
Small Parcel,2,48 Hours,270,473,127710,116178,0.0902983321587972,N,0.0,Potential
Small Parcel,26,3-4 Weeks,1421,3451,4903871,4376329,0.1075766471018507,Y,0.04,Potential
Small Parcel,25,3-4 Weeks,309,305,94245,70935,0.2473340760783065,Y,0.05,Potential
Large Parcel,24,3-4 Weeks,75,1052,78900,70690,0.1040557667934093,N,0.0,Potential
Small Parcel,3,72 Hours,1075,3259,3503425,2746959,0.2159218479059777,Y,0.54,Potential
Small Parcel,3,72 Hours,75,351,26325,19842,0.2462678062678062,Y,0.0,Potential
Small Parcel,8,1-2 Weeks,625,806,503750,420334,0.1655900744416873,Y,0.09,Potential
Large Parcel,15,2-3 Weeks,1187,50,59350,52715,0.1117944397641112,Y,0.09,Potential
Large Parcel,1,24 Hours,224,411,92064,73378,0.2029675008689607,N,0.0,Current
Small Parcel,4,Less Than 1 Week,3085,930,2869050,2453827,0.1447249089419842,N,0.0,Current
Large Parcel,3,72 Hours,322,778,250516,199081,0.2053162273068386,Y,0.03,Potential
Small Parcel,4,Less Than 1 Week,253,767,194051,168059,0.1339441693163137,Y,0.2,Potential
Small Parcel,5,Less Than 1 Week,3344,712,2380928,2167093,0.0898116196709854,Y,0.71,Potential
Large Parcel,11,1-2 Weeks,2576,350,901600,755690,0.1618345164152617,N,0.0,Potential
Large Parcel,3,72 Hours,2217,369,818073,679871,0.1689360240467537,Y,0.16,Potential
Small Parcel,2,48 Hours,983,1857,1825431,1477456,0.1906262137544503,Y,0.37,Potential
Small Parcel,2,48 Hours,134,2660,356440,310199,0.1297301088542251,N,0.0,Potential
Large Parcel,25,3-4 Weeks,304,118,35872,29957,0.1648918376449598,N,0.0,Potential
Large Parcel,1,24 Hours,835,692,577820,458292,0.2068602679034993,N,0.0,Current
Small Parcel,1,24 Hours,102,551,56202,43065,0.2337461300309597,N,0.0,Potential
Large Parcel,1,24 Hours,329,68,22372,19774,0.1161273019846236,N,0.0,Potential
Small Parcel,24,3-4 Weeks,231,639,147609,114353,0.2252979154387605,Y,0.18,Potential
Small Parcel,25,3-4 Weeks,731,886,647666,528410,0.184131944551667,N,0.0,Current
Small Parcel,3,72 Hours,1757,897,1576029,1480133,0.0608465960968992,N,0.0,Current
Small Parcel,2,48 Hours,739,2986,2206654,1904065,0.1371257115977402,Y,0.03,Potential
Large Parcel,8,1-2 Weeks,1782,1884,3357288,3109012,0.0739513559754182,N,0.0,Potential
Large Parcel,2,48 Hours,1451,2450,3554950,2794131,0.2140167934851404,Y,0.01,Potential
Small Parcel,4,Less Than 1 Week,395,468,184860,159801,0.1355566374553716,Y,0.25,Potential
Large Parcel,5,Less Than 1 Week,1978,1400,2769200,2151508,0.2230579228658096,N,0.0,Potential
Large Parcel,2,48 Hours,705,2461,1735005,1481178,0.1462975611021293,Y,0.14,Potential
Small Parcel,23,3-4 Weeks,590,99,58410,47879,0.1802944701249786,Y,0.02,Potential
Small Parcel,24,3-4 Weeks,207,584,120888,92435,0.2353666203427966,Y,0.04,Current
Small Parcel,3,72 Hours,746,200,149200,131839,0.1163605898123324,N,0.0,Potential
Large Parcel,10,1-2 Weeks,1809,6378,11537802,10903498,0.0549761557703971,N,0.0,Potential
Small Parcel,2,48 Hours,2501,1055,2638555,2332238,0.116092709835497,N,0.0,Potential
Small Parcel,21,3-4 Weeks,972,118,114696,89786,0.2171828136988212,N,0.0,Current
Large Parcel,11,1-2 Weeks,2388,476,1136688,1002917,0.1176848880255619,N,0.0,Potential
Large Parcel,2,48 Hours,649,699,453651,423873,0.0656407679030796,N,0.0,Current
Small Parcel,13,1-2 Weeks,570,720,410400,369951,0.0985599415204678,N,0.0,Potential
Large Parcel,3,72 Hours,1241,477,591957,528799,0.1066935605119966,Y,0.01,Potential
Large Parcel,26,3-4 Weeks,1179,50,58950,51485,0.1266327396098388,Y,0.01,Potential
Large Parcel,23,3-4 Weeks,1798,276,496248,379260,0.2357450307104512,Y,0.01,Potential
Small Parcel,10,1-2 Weeks,453,237,107361,88644,0.174337049766675,Y,0.02,Potential
Small Parcel,8,1-2 Weeks,632,837,528984,398700,0.2462910031305294,N,0.0,Current
Large Parcel,23,3-4 Weeks,3802,923,3509246,3160772,0.0993016733509135,N,0.0,Potential
Small Parcel,2,48 Hours,400,638,255200,199237,0.2192907523510971,N,0.0,Potential
Large Parcel,1,24 Hours,3951,272,1074672,982977,0.0853237080709276,N,0.0,Potential
Large Parcel,21,3-4 Weeks,1585,815,1291775,1186662,0.0813709817886241,Y,0.03,Potential
Large Parcel,6,Less Than 1 Week,100,285,28500,25391,0.1090877192982456,Y,0.11,Current
Small Parcel,10,1-2 Weeks,222,725,160950,123277,0.2340664802733768,N,0.0,Potential
Small Parcel,13,1-2 Weeks,75,606,45450,39012,0.1416501650165016,Y,0.22,Potential
Small Parcel,5,Less Than 1 Week,2945,3011,8867395,7192429,0.188890423850522,Y,0.48,Potential
Large Parcel,26,3-4 Weeks,494,886,437684,373074,0.1476179161221337,Y,0.11,Potential
Small Parcel,8,1-2 Weeks,1621,1620,2626020,2162852,0.1763764175444208,N,0.0,Current
Large Parcel,5,Less Than 1 Week,593,234,138762,120258,0.1333506291347775,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,718,1470,1055460,957621,0.0926979705531237,N,0.0,Potential
Small Parcel,2,48 Hours,93,415,38595,34343,0.1101697111024744,Y,0.08,Current
Large Parcel,1,24 Hours,469,155,72695,56734,0.2195611802737464,N,0.0,Current
Large Parcel,6,Less Than 1 Week,146,2156,314776,247993,0.2121603934226243,Y,0.03,Potential
Small Parcel,5,Less Than 1 Week,349,548,191252,159342,0.1668479283876769,N,0.0,Current
Small Parcel,5,Less Than 1 Week,2811,320,899520,813978,0.0950973852721451,N,0.0,Potential
Large Parcel,27,3-4 Weeks,3755,1074,4032870,3038915,0.246463436708845,Y,0.01,Current
Large Parcel,12,1-2 Weeks,878,1342,1178276,1047822,0.1107159952337143,Y,0.13,Potential
Large Parcel,11,1-2 Weeks,3597,101,363297,286642,0.2109981640365871,N,0.0,Potential
Small Parcel,25,3-4 Weeks,75,5320,399000,378228,0.0520601503759398,N,0.0,Potential
Large Parcel,13,1-2 Weeks,1223,787,962501,853137,0.1136248170131771,N,0.0,Potential
Large Parcel,12,1-2 Weeks,1238,50,61900,53330,0.138449111470113,Y,0.03,Potential
Small Parcel,3,72 Hours,960,983,943680,868564,0.0795990166158019,N,0.0,Potential
Small Parcel,16,2-3 Weeks,739,50,36950,27753,0.2489039242219215,N,0.0,Potential
Large Parcel,13,1-2 Weeks,4038,1500,6057000,5609709,0.0738469539375928,Y,0.17,Potential
Small Parcel,9,1-2 Weeks,75,2092,156900,148249,0.0551370299553855,Y,0.01,Current
Large Parcel,26,3-4 Weeks,1286,1102,1417172,1338432,0.0555613574075694,N,0.0,Current
Small Parcel,3,72 Hours,575,1596,917700,750565,0.182123787730195,N,0.0,Current
Large Parcel,2,48 Hours,1448,244,353312,312215,0.1163192872022461,N,0.0,Potential
Large Parcel,1,24 Hours,605,2681,1622005,1234385,0.2389758354628993,Y,0.02,Potential
Large Parcel,3,72 Hours,354,906,320724,253638,0.2091705017398136,N,0.0,Potential
Small Parcel,9,1-2 Weeks,983,1435,1410605,1131749,0.1976853903112494,N,0.0,Potential
Large Parcel,2,48 Hours,470,295,138650,128006,0.0767688424089433,N,0.0,Potential
Small Parcel,13,1-2 Weeks,831,1450,1204950,957895,0.2050334038756794,N,0.0,Potential
Large Parcel,3,72 Hours,1360,740,1006400,858004,0.1474523052464229,Y,0.07,Potential
Small Parcel,5,Less Than 1 Week,634,724,459016,391780,0.1464785541244749,Y,0.04,Potential
Small Parcel,6,Less Than 1 Week,2848,1799,5123552,4077311,0.2042022799807633,N,0.0,Current
Small Parcel,2,48 Hours,2896,1156,3347776,2661337,0.2050432884398478,N,0.0,Potential
Small Parcel,2,48 Hours,1024,1892,1937408,1475735,0.2382941538385306,N,0.0,Potential
Small Parcel,1,24 Hours,2892,2018,5836056,4691234,0.1961636420212554,Y,0.19,Potential
Small Parcel,5,Less Than 1 Week,296,532,157472,125764,0.2013564316195895,N,0.0,Potential
Large Parcel,12,1-2 Weeks,617,2094,1291998,1031498,0.2016256991109893,N,0.0,Potential
Small Parcel,1,24 Hours,1476,871,1285596,1019546,0.2069468168849312,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,139,572,79508,66008,0.1697942345424359,Y,0.06,Potential
Small Parcel,3,72 Hours,1079,102,110058,99078,0.0997655781497028,N,0.0,Potential
Small Parcel,10,1-2 Weeks,454,1514,687356,529159,0.230152933850872,Y,0.02,Potential
Large Parcel,3,72 Hours,1773,379,671967,552287,0.1781039842730372,N,0.0,Current
Large Parcel,8,1-2 Weeks,1273,1305,1661265,1518237,0.0860958366064414,Y,0.02,Potential
Small Parcel,25,3-4 Weeks,531,614,326034,302935,0.0708484391198464,N,0.0,Potential
Large Parcel,3,72 Hours,2507,656,1644592,1530139,0.0695935526866237,N,0.0,Potential
Small Parcel,1,24 Hours,1201,684,821484,679999,0.1722309868481918,N,0.0,Current
Small Parcel,15,2-3 Weeks,1202,96,115392,93690,0.1880719633943427,N,0.0,Potential
Small Parcel,3,72 Hours,1200,618,741600,702448,0.0527939590075512,N,0.0,Potential
Large Parcel,19,2-3 Weeks,634,554,351236,309810,0.1179434909861176,Y,0.03,Potential
Large Parcel,1,24 Hours,3085,893,2754905,2241425,0.186387552383839,Y,0.03,Current
Small Parcel,18,2-3 Weeks,4826,982,4739132,4237062,0.1059413411569882,N,0.0,Potential
Small Parcel,12,1-2 Weeks,75,577,43275,40966,0.0533564413633737,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,1422,53,75366,68458,0.0916593689462091,Y,0.05,Potential
Small Parcel,11,1-2 Weeks,1389,574,797286,754329,0.0538790346249652,Y,0.0,Current
Small Parcel,1,24 Hours,409,412,168508,149060,0.1154129180810406,Y,0.11,Potential
Small Parcel,3,72 Hours,1257,221,277797,209455,0.2460141758190333,N,0.0,Potential
Large Parcel,1,24 Hours,75,2107,158025,123948,0.2156430944470811,N,0.0,Potential
Large Parcel,27,3-4 Weeks,79,820,64780,61372,0.0526088298857672,Y,0.09,Current
Large Parcel,19,2-3 Weeks,546,361,197106,170719,0.133872129717005,Y,0.02,Current
Small Parcel,8,1-2 Weeks,994,779,774326,685408,0.1148327706934805,N,0.0,Potential
Small Parcel,1,24 Hours,273,1017,277641,210883,0.2404471961994085,Y,0.08,Potential
Large Parcel,19,2-3 Weeks,1012,1198,1212376,1083307,0.1064595472031778,N,0.0,Potential
Small Parcel,27,3-4 Weeks,358,235,84130,75723,0.0999286818019731,N,0.0,Current
Large Parcel,1,24 Hours,145,503,72935,56820,0.2209501611023514,N,0.0,Current
Large Parcel,1,24 Hours,75,4307,323025,243949,0.2447983902174754,N,0.0,Potential
Small Parcel,27,3-4 Weeks,560,239,133840,123411,0.077921398684997,N,0.0,Potential
Large Parcel,27,3-4 Weeks,284,167,47428,42029,0.1138357088639622,Y,0.08,Current
Large Parcel,3,72 Hours,133,823,109459,100398,0.0827798536438301,N,0.0,Potential
Small Parcel,10,1-2 Weeks,689,1300,895700,835619,0.0670771463659707,Y,0.04,Potential
Large Parcel,3,72 Hours,287,784,225008,177022,0.2132635284078788,Y,0.02,Current
Small Parcel,18,2-3 Weeks,648,334,216432,162466,0.2493439047830265,Y,0.26,Current
Small Parcel,4,Less Than 1 Week,3339,828,2764692,2493333,0.0981516205060093,N,0.0,Potential
Large Parcel,15,2-3 Weeks,1117,1176,1313592,1094033,0.1671439838245056,Y,0.02,Current
Large Parcel,1,24 Hours,1917,903,1731051,1497200,0.1350919181468368,Y,0.15,Potential
Small Parcel,1,24 Hours,173,267,46191,43008,0.0689095278300967,N,0.0,Potential
Large Parcel,9,1-2 Weeks,75,1028,77100,67519,0.1242671854734111,N,0.0,Potential
Large Parcel,9,1-2 Weeks,326,962,313612,286227,0.0873212759715827,Y,0.07,Potential
Large Parcel,25,3-4 Weeks,543,169,91767,81308,0.1139734327154641,Y,0.13,Potential
Small Parcel,13,1-2 Weeks,495,1063,526185,486162,0.0760626015564867,Y,0.01,Current
Small Parcel,2,48 Hours,2175,1158,2518650,2355773,0.0646683739304786,Y,0.02,Potential
Large Parcel,2,48 Hours,852,1674,1426248,1222161,0.1430936274757265,Y,0.02,Potential
Small Parcel,9,1-2 Weeks,1824,443,808032,767330,0.0503717674547542,N,0.0,Potential
Large Parcel,9,1-2 Weeks,490,3641,1784090,1434480,0.1959598450750803,Y,0.08,Potential
Large Parcel,21,3-4 Weeks,671,310,208010,180406,0.1327051584058458,Y,0.02,Potential
Small Parcel,14,2-3 Weeks,627,63,39501,33952,0.1404774562669299,Y,0.01,Potential
Small Parcel,4,Less Than 1 Week,152,602,91504,70538,0.2291265955586641,N,0.0,Potential
Small Parcel,17,2-3 Weeks,1760,396,696960,602123,0.1360723714416896,Y,0.03,Potential
Large Parcel,3,72 Hours,630,499,314370,270965,0.1380697903743996,N,0.0,Current
Small Parcel,9,1-2 Weeks,244,458,111752,88056,0.2120409478130145,N,0.0,Current
Small Parcel,13,1-2 Weeks,446,486,216756,204259,0.0576546900662496,N,0.0,Current
Large Parcel,25,3-4 Weeks,1801,523,941923,894265,0.0505964924946094,N,0.0,Potential
Small Parcel,20,2-3 Weeks,229,861,197169,162450,0.1760875188290248,N,0.0,Potential
Large Parcel,20,2-3 Weeks,2340,682,1595880,1310434,0.1788643256385192,N,0.0,Current
Large Parcel,3,72 Hours,6260,793,4964180,4379712,0.1177370683577146,Y,0.04,Potential
Small Parcel,12,1-2 Weeks,160,148,23680,18683,0.2110219594594594,Y,0.08,Potential
Large Parcel,3,72 Hours,1494,367,548298,475676,0.1324498721498163,N,0.0,Potential
Small Parcel,18,2-3 Weeks,983,234,230022,180264,0.2163184391058246,N,0.0,Current
Large Parcel,11,1-2 Weeks,410,255,104550,97058,0.0716594930655188,N,0.0,Potential
Small Parcel,1,24 Hours,908,1444,1311152,1027953,0.2159925012508084,Y,0.03,Potential
Large Parcel,27,3-4 Weeks,1581,2445,3865545,3385745,0.1241222130385236,N,0.0,Current
Large Parcel,1,24 Hours,1058,2013,2129754,1972102,0.0740235726755296,Y,0.01,Current
Small Parcel,13,1-2 Weeks,892,258,230136,199240,0.1342510515521257,N,0.0,Potential
Large Parcel,2,48 Hours,1414,590,834260,756491,0.0932191403159686,Y,0.02,Potential
Small Parcel,4,Less Than 1 Week,321,3057,981297,737900,0.2480360176378813,Y,0.05,Potential
Large Parcel,3,72 Hours,1810,299,541190,422867,0.2186348602154511,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,484,1172,567248,446123,0.2135309423744112,N,0.0,Potential
Large Parcel,9,1-2 Weeks,1517,1037,1573129,1244446,0.2089358215378395,Y,0.01,Potential
Small Parcel,6,Less Than 1 Week,208,744,154752,134958,0.1279078784119106,Y,0.04,Potential
Small Parcel,2,48 Hours,892,410,365720,318241,0.1298233621349666,N,0.0,Potential
Large Parcel,22,3-4 Weeks,186,258,47988,41900,0.1268650495957322,N,0.0,Potential
Small Parcel,19,2-3 Weeks,257,1356,348492,308593,0.1144904330658953,Y,0.02,Potential
Large Parcel,3,72 Hours,1838,411,755418,639412,0.1535653108610067,Y,0.25,Current
Small Parcel,1,24 Hours,2327,1531,3562637,3005087,0.1564992448009718,Y,0.03,Potential
Large Parcel,12,1-2 Weeks,2637,391,1031067,918141,0.1095234354314511,Y,0.01,Potential
Large Parcel,22,3-4 Weeks,203,763,154889,141958,0.0834855929084699,N,0.0,Potential
Small Parcel,26,3-4 Weeks,131,447,58557,46129,0.2122376487866523,N,0.0,Potential
Small Parcel,25,3-4 Weeks,625,1584,990000,935519,0.0550313131313131,N,0.0,Potential
Small Parcel,1,24 Hours,326,601,195926,169331,0.1357400242948868,N,0.0,Potential
Large Parcel,1,24 Hours,409,1293,528837,460142,0.1298982484205908,Y,0.02,Potential
Small Parcel,8,1-2 Weeks,329,50,16450,15611,0.0510030395136778,N,0.0,Potential
Large Parcel,3,72 Hours,75,499,37425,31238,0.165317301269205,N,0.0,Potential
Small Parcel,20,2-3 Weeks,603,454,273762,231088,0.1558799248982693,N,0.0,Potential
Large Parcel,27,3-4 Weeks,990,318,314820,276959,0.1202623721491646,N,0.0,Current
Small Parcel,6,Less Than 1 Week,829,600,497400,472227,0.0506091676718938,N,0.0,Potential
Small Parcel,27,3-4 Weeks,75,677,50775,38384,0.2440374199901526,Y,0.05,Current
Small Parcel,13,1-2 Weeks,2105,260,547300,424771,0.2238790425726292,Y,0.02,Potential
Small Parcel,15,2-3 Weeks,2229,50,111450,90314,0.189645580978017,N,0.0,Potential
Large Parcel,1,24 Hours,584,87,50808,48135,0.0526098252243741,N,0.0,Potential
Large Parcel,2,48 Hours,768,383,294144,240893,0.1810371790687554,Y,0.01,Current
Large Parcel,25,3-4 Weeks,1116,50,55800,43341,0.2232795698924731,Y,0.02,Current
Small Parcel,20,2-3 Weeks,1600,1052,1683200,1435510,0.1471542300380228,N,0.0,Potential
Large Parcel,10,1-2 Weeks,360,653,235080,221732,0.0567806704100731,Y,0.08,Potential
Large Parcel,24,3-4 Weeks,1358,287,389746,363054,0.0684856291020305,N,0.0,Potential
Small Parcel,15,2-3 Weeks,650,152,98800,82573,0.1642408906882591,Y,0.03,Potential
Large Parcel,1,24 Hours,352,140,49280,38714,0.2144074675324675,Y,0.01,Potential
Small Parcel,7,1-2 Weeks,2785,489,1361865,1122355,0.1758691206543967,Y,0.09,Potential
Large Parcel,5,Less Than 1 Week,412,2029,835948,756839,0.0946338767483144,Y,0.02,Potential
Small Parcel,2,48 Hours,399,493,196707,147720,0.2490353673229727,N,0.0,Current
Large Parcel,11,1-2 Weeks,845,1001,845845,659203,0.2206574490598159,N,0.0,Potential
Large Parcel,3,72 Hours,401,1865,747865,592150,0.20821271218736,N,0.0,Potential
Large Parcel,2,48 Hours,294,152,44688,37519,0.1604233798782671,Y,0.04,Potential
Large Parcel,5,Less Than 1 Week,606,1167,707202,622261,0.1201085404170237,Y,0.22,Potential
Small Parcel,22,3-4 Weeks,664,2477,1644728,1342643,0.1836686674027559,Y,0.04,Potential
Small Parcel,2,48 Hours,712,2326,1656112,1569106,0.0525363018926256,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,1590,257,408630,382936,0.0628783985512566,N,0.0,Potential
Small Parcel,1,24 Hours,1588,461,732068,654484,0.1059792259735434,Y,0.16,Potential
Small Parcel,1,24 Hours,383,463,177329,145900,0.1772355339510176,Y,0.02,Current
Small Parcel,25,3-4 Weeks,2669,773,2063137,1599034,0.2249501608472922,Y,0.08,Potential
Small Parcel,2,48 Hours,2523,2559,6456357,5908245,0.084894933783866,N,0.0,Potential
Large Parcel,7,1-2 Weeks,713,111,79143,72632,0.0822688045689448,Y,0.05,Potential
Small Parcel,3,72 Hours,402,1955,785910,687725,0.12493160794493,N,0.0,Current
Large Parcel,1,24 Hours,767,1112,852904,791731,0.0717231951075384,N,0.0,Potential
Large Parcel,3,72 Hours,282,509,143538,127059,0.1148058353885382,N,0.0,Potential
Large Parcel,10,1-2 Weeks,2079,585,1216215,960928,0.2099028543472988,Y,0.01,Potential
Large Parcel,23,3-4 Weeks,841,1061,892301,843189,0.0550397231427511,N,0.0,Potential
Small Parcel,3,72 Hours,615,754,463710,423766,0.0861400444243169,N,0.0,Potential
Small Parcel,1,24 Hours,398,639,254322,240046,0.0561335629634872,N,0.0,Current
Large Parcel,27,3-4 Weeks,519,707,366933,295472,0.1947521754652756,N,0.0,Potential
Small Parcel,5,Less Than 1 Week,141,438,61758,53227,0.1381359499983807,N,0.0,Current
Small Parcel,7,1-2 Weeks,401,993,398193,356877,0.1037587300630598,N,0.0,Potential
Large Parcel,1,24 Hours,99,230,22770,18755,0.1763285024154589,Y,0.02,Potential
Large Parcel,10,1-2 Weeks,75,1315,98625,74125,0.2484157160963244,N,0.0,Potential
Large Parcel,1,24 Hours,366,146,53436,49740,0.0691668538064226,Y,0.02,Potential
Large Parcel,4,Less Than 1 Week,79,763,60277,45599,0.243509132836737,N,0.0,Potential
Large Parcel,27,3-4 Weeks,945,78,73710,60932,0.1733550400217066,Y,0.02,Current
Small Parcel,7,1-2 Weeks,1367,130,177710,147781,0.1684148331551404,N,0.0,Potential
Small Parcel,3,72 Hours,75,115,8625,7247,0.159768115942029,Y,0.02,Potential
Small Parcel,21,3-4 Weeks,1300,3245,4218500,3334495,0.2095543439611236,Y,0.02,Potential
Large Parcel,25,3-4 Weeks,635,3719,2361565,1873911,0.2064961159231272,N,0.0,Potential
Large Parcel,3,72 Hours,896,868,777728,630041,0.1898954390223831,N,0.0,Current
Small Parcel,3,72 Hours,5250,623,3270750,2586266,0.2092743254605213,Y,0.05,Current
Small Parcel,1,24 Hours,201,608,122208,104893,0.1416846687614558,N,0.0,Potential
Small Parcel,1,24 Hours,450,1677,754650,650826,0.1375790101371496,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,1714,81,138834,111236,0.1987841594998343,N,0.0,Potential
Large Parcel,2,48 Hours,3114,371,1155294,1096315,0.0510510744451195,Y,0.25,Potential
Small Parcel,1,24 Hours,733,159,116547,102194,0.1231520330853647,N,0.0,Potential
Large Parcel,17,2-3 Weeks,2960,249,737040,644279,0.1258561272115489,Y,0.14,Current
Large Parcel,13,1-2 Weeks,909,409,371781,312366,0.1598118247032527,Y,0.01,Potential
Small Parcel,10,1-2 Weeks,338,242,81796,66600,0.1857792557093256,N,0.0,Current
Small Parcel,20,2-3 Weeks,165,453,74745,56727,0.2410596026490066,N,0.0,Potential
Small Parcel,25,3-4 Weeks,221,50,11050,9216,0.165972850678733,Y,0.12,Potential
Small Parcel,1,24 Hours,1046,590,617140,550151,0.1085474932754318,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,187,274,51238,46710,0.0883719114719544,N,0.0,Potential
Large Parcel,11,1-2 Weeks,728,912,663936,574860,0.1341635338345864,N,0.0,Potential
Large Parcel,25,3-4 Weeks,75,555,41625,38940,0.0645045045045045,Y,0.04,Potential
Large Parcel,4,Less Than 1 Week,1846,50,92300,87166,0.055622968580715,Y,0.07,Current
Small Parcel,8,1-2 Weeks,1036,352,364672,287438,0.2117903211653211,Y,0.01,Potential
Small Parcel,2,48 Hours,888,1379,1224552,999547,0.183744749100079,Y,0.01,Potential
Small Parcel,15,2-3 Weeks,228,50,11400,8814,0.2268421052631579,Y,0.11,Potential
Large Parcel,17,2-3 Weeks,110,101,11110,10205,0.0814581458145814,Y,0.02,Potential
Small Parcel,6,Less Than 1 Week,2737,382,1045534,862593,0.1749737454736048,Y,0.04,Potential
Large Parcel,12,1-2 Weeks,1552,2240,3476480,2896698,0.1667727126288659,N,0.0,Potential
Large Parcel,2,48 Hours,2593,2660,6897380,6267773,0.0912820520255517,N,0.0,Current
Small Parcel,10,1-2 Weeks,1199,365,437635,347253,0.2065237012578975,N,0.0,Potential
Small Parcel,2,48 Hours,996,455,453180,406871,0.1021867690542389,Y,0.15,Current
Small Parcel,22,3-4 Weeks,951,747,710397,607799,0.1444234702567719,Y,0.17,Potential
Large Parcel,1,24 Hours,1267,255,323085,251892,0.2203537768698639,Y,0.02,Potential
Large Parcel,10,1-2 Weeks,302,3718,1122836,1066678,0.0500144277525836,N,0.0,Potential
Small Parcel,13,1-2 Weeks,181,4107,743367,680200,0.0849741782995478,N,0.0,Potential
Large Parcel,1,24 Hours,1291,2453,3166823,2557490,0.1924114483190251,N,0.0,Potential
Small Parcel,2,48 Hours,517,1137,587829,540817,0.0799756391739774,N,0.0,Potential
Large Parcel,22,3-4 Weeks,439,910,399490,309232,0.2259330646574382,N,0.0,Potential
Large Parcel,9,1-2 Weeks,1958,573,1121934,1059227,0.0558918795579775,N,0.0,Current
Large Parcel,18,2-3 Weeks,3783,129,488007,460402,0.0565668115416377,N,0.0,Current
Small Parcel,2,48 Hours,1475,2223,3278925,2975014,0.092686170009988,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,966,1270,1226820,964412,0.2138928286138146,Y,0.05,Potential
Small Parcel,1,24 Hours,771,519,400149,345171,0.1373938208017513,N,0.0,Current
Large Parcel,11,1-2 Weeks,1829,4388,8025652,6400502,0.2024944515411333,N,0.0,Potential
Large Parcel,8,1-2 Weeks,489,471,230319,176274,0.2346528076276816,Y,0.02,Potential
Large Parcel,3,72 Hours,3693,1583,5846019,5154857,0.1182278059650507,N,0.0,Potential
Small Parcel,3,72 Hours,830,3674,3049420,2656265,0.1289277961054889,Y,0.04,Potential
Small Parcel,16,2-3 Weeks,2079,523,1087317,934942,0.1401385244597481,Y,0.11,Potential
Small Parcel,2,48 Hours,75,476,35700,31337,0.1222128851540616,N,0.0,Potential
Large Parcel,20,2-3 Weeks,762,426,324612,252078,0.2234483013566966,N,0.0,Potential
Large Parcel,23,3-4 Weeks,3117,258,804186,634469,0.2110419728769215,Y,0.43,Current
